Create Date|Price|UUID|Zip code|VIN|Make|Update Date|Year|Model|Mileage
2019-11-28T09:34:44-08:00|7722|84AFF81D-293F-F31A-1612-FB7E89A1B2B5|28463|5FIIA81JDER685054|Nissan|2020-04-22T12:18:02-07:00|2012|Altima|42293
2019-09-11T00:17:35-07:00|21328|BC572EA7-E98A-6FBE-188D-85765F205CE8|43223|0JGTW33EEHA488042|Suzuki|2021-01-23T21:25:12-08:00|2007|i10|43705
2020-04-16T19:54:46-07:00|17620|452C47C2-F647-B982-991D-C05CCB25E508|27934|5XRBL19EDHJ425999|Porsche|2020-01-20T04:00:10-08:00|1998|SLK|39341
2019-06-25T17:13:25-07:00|15403|E24AA947-EEE4-74CC-290D-7EF97471A103|16125|0HQEB42VFTK558007|Renault|2021-04-07T21:43:33-07:00|2001|Impala|24307
2019-08-08T23:23:10-07:00|10467|5B395CD2-F81C-382E-AFAB-D7299061EA8D|40289|5EKQD25EXAG478999|Suzuki|2019-06-29T19:18:45-07:00|2016|Cruze|35049
2019-08-08T04:27:44-07:00|5911|E72855FE-8A58-37DE-3BBB-7B042E5A98FA|66089|8UHSV06BLMX577414|Nissan|2020-08-03T04:02:36-07:00|1995|Golf|23966
2019-11-12T17:47:34-08:00|2922|5CD21234-8F51-FC20-E483-F264D489C8BF|11137|7UOPW52QNKD664441|Ford|2020-12-22T04:05:45-08:00|2002|Accent|23257
2019-12-20T23:12:30-08:00|24973|A9F627DC-21DB-AA0F-033F-2797ADCB4B70|10619|2NDLS24TVJJ074763|Audi|2019-12-23T10:00:11-08:00|2012|Camry|40247
2019-11-15T10:40:00-08:00|10205|4353B325-CA00-4157-0079-03D179369A21|48292|7AAOW00DFST539976|Fiat|2020-09-18T01:07:59-07:00|2002|Altima|19384
2019-09-18T01:47:34-07:00|10909|4D4C5CE3-182B-8793-461F-367BD923A6EB|70081|7MDYI47GZZW779860|Mercedes-Benz|2020-01-19T01:55:14-08:00|2012|Sentra|21329
2019-08-04T00:58:09-07:00|2790|B41EC3B8-1CEC-40F8-C43F-3728759A8A7C|18711|7IWRX49YAMV191248|Kia|2019-11-27T07:44:57-08:00|2003|Golf|34266
2019-07-22T21:29:40-07:00|24813|1C48EB2D-E865-EB32-4333-D3C3E0375022|80239|9ANZY50RXDX706948|Honda|2020-11-30T15:39:15-08:00|2013|Sandy|24664
2019-12-05T19:10:49-08:00|17750|89F9E5DF-4E1B-229E-2D00-DB42135D6282|25794|2FSRG52PPVC209356|Kia|2020-03-13T12:38:19-07:00|2013|Rogue|37804
2020-05-24T17:30:05-07:00|9054|33ED55D0-AD66-F4C0-205C-AAC927DF367D|46866|3OWUQ99VAFQ372305|Mazda|2019-10-06T02:07:38-07:00|2010|Versa|5019
2020-02-09T20:49:36-08:00|13396|D5215E90-C64B-8CBA-2FDD-C21784BA0752|73937|2PHAQ31ERWG937541|Ford|2020-09-10T05:50:24-07:00|1996|Sandy|45593
2020-03-03T16:05:55-08:00|24109|85859212-64EB-9B23-11BF-4BE443C683FB|33214|0XARG83TUNU475840|Mazda|2020-03-17T04:36:17-07:00|2015|Corolla|38629
2019-11-23T16:03:46-08:00|12138|9B688542-C5C0-AE39-2A31-74833CD4CCEB|19325|8MHIV48SFUK485963|Honda|2019-12-27T20:18:06-08:00|1999|Rio|27094
2020-02-01T05:28:27-08:00|21987|D0637F85-6C69-F134-3EBA-7B297C7546B5|30362|1IWKD76QVMZ981176|Mercedes-Benz|2020-05-09T16:18:05-07:00|1998|Accent|21999
2020-02-24T08:18:59-08:00|6938|AB403807-04AE-6A6E-CBCF-22DC1A0B91C0|17003|3FOAD82NFRG399280|Volvo|2019-06-21T16:35:48-07:00|2016|Yaris|28990
2019-08-16T14:28:52-07:00|15050|3A763D07-01A0-401E-9B93-EB2218D6439E|50899|7TZWI60AGMH053902|Audi|2020-06-28T17:11:07-07:00|2003|Rogue|18513
2020-02-06T18:16:23-08:00|17775|A83203CA-2A0A-7799-4CD0-CAADE55E79DD|52723|1SEZW14DFJB643136|Lexus|2020-04-15T12:24:12-07:00|2001|Accord|38603
2020-03-01T22:58:39-08:00|17570|DBDCF556-2923-8302-27AB-DC4F070B9B65|84631|1WMTC22MMLZ087469|Mercedes-Benz|2021-02-15T11:19:35-08:00|1995|i20|40396
2019-12-15T20:42:36-08:00|17844|626982CB-2512-8F20-2E03-F68DBCFB3D0B|52936|9RCAS91SOXE017296|Ford|2020-09-29T08:00:23-07:00|2016|Accent|36773
2020-03-01T20:32:11-08:00|13712|D04031B0-12C0-2DDA-6742-317EEAAA6529|43456|4HLNT74WNEY096840|Kia|2020-02-03T09:41:17-08:00|2010|Mirage|34417
2020-01-15T16:46:34-08:00|7604|0B9872F3-C636-084C-7837-44CC9BF72101|54389|1ETIL08FGKM303554|Lexus|2020-03-10T14:56:44-07:00|2011|Legacy|48607
2019-09-12T05:48:07-07:00|14065|4F36054A-A9AE-F3BF-88A9-D8F1D94D5FD3|57762|0XIZJ47MTOE285370|Fiat|2020-02-07T02:26:33-08:00|2006|Impala|48256
2020-01-09T19:14:42-08:00|5436|F9928AFF-9B53-3B0D-2B19-F0E7A12B05D7|15186|2SHVG27NIDM428868|Subaru|2020-08-24T14:44:55-07:00|2018|Skyline|21914
2019-12-01T16:44:28-08:00|12266|6E073468-49C6-8585-9932-50BAC70EC02B|76240|4SSSB74YXFM253468|Porsche|2020-11-03T06:31:18-08:00|2015|Versa|40491
2020-02-15T08:25:23-08:00|20201|070782EF-D5C8-9B4F-8B90-A0BA207ACBCB|81164|6GZYZ11QBAS476794|Fiat|2019-11-18T05:10:29-08:00|1999|i20|19126
2020-01-25T07:52:33-08:00|3128|A522CB3F-DF55-694B-45AD-40F5EC407C7F|40655|2ABWL45DTGS927809|Renault|2020-05-20T06:17:10-07:00|2010|Raptor|7149
2019-12-27T03:02:56-08:00|4265|874EDAD0-BEAD-BC93-59DA-6169C9054B15|50842|1ERUH29EWGE632007|Honda|2021-02-24T19:58:11-08:00|2005|Yaris|9116
2020-05-10T02:49:49-07:00|17718|32829349-C291-6256-22D4-DD2EE2679E41|56969|7MKBP96VHLD620967|Audi|2020-03-08T23:31:14-07:00|2013|i20|34800
2019-12-05T15:53:22-08:00|19651|2F3A6275-20CA-73CB-970B-5F6997A7526D|19615|2VWBH57NNHP721662|Lexus|2020-05-16T02:03:23-07:00|2009|LS2|17625
2019-11-07T02:53:28-08:00|3982|B5D9BDB6-6005-64C9-688A-2229442A2DFD|41091|6YTIY89AOCM330876|Fiat|2021-04-06T19:05:03-07:00|2009|Avalon|18296
2019-07-28T23:00:20-07:00|11055|A254A0D5-170B-2413-DECE-AAA65C72B7D2|83521|9ECDS63DCYN076372|Porsche|2020-05-10T00:36:06-07:00|2015|Accord|29877
